Customer Name,Order Date,Quantity,Sales
Nick Radford,2016-06-30,0,0.0
Ann Blume,2016-12-31,0,0.0
Nick Radford,2016-04-30,0,0.0
Nick Radford,2016-03-31,0,0.0
Nick Radford,2016-02-29,0,0.0
Nick Radford,2016-01-31,0,0.0
Nick Radford,2015-12-31,0,0.0
Nick Radford,2015-11-30,0,0.0
Nick Radford,2015-10-31,0,0.0
Nick Radford,2015-09-30,0,0.0
Nick Radford,2015-08-31,0,0.0
Nick Radford,2015-07-31,0,0.0
Nathan Gelder,2016-01-31,0,0.0
Nick Radford,2015-05-31,0,0.0
Nick Crebassa,2017-01-31,0,0.0
Ann Blume,2017-06-30,0,0.0
Nick Radford,2016-11-30,0,0.0
Neoma Murray,2017-01-31,0,0.0
Nick Crebassa,2014-12-31,0,0.0
Nick Crebassa,2014-11-30,0,0.0
Nick Crebassa,2014-10-31,0,0.0
Nick Crebassa,2014-09-30,0,0.0
Ann Blume,2017-07-31,0,0.0
Ann Blume,2017-08-31,0,0.0
Neoma Murray,2017-03-31,0,0.0
Neoma Murray,2017-02-28,0,0.0
Ann Blume,2017-09-30,0,0.0
Nick Crebassa,2016-10-31,0,0.0
Neoma Murray,2016-11-30,0,0.0
Ann Blume,2017-10-31,0,0.0
Neoma Murray,2016-09-30,0,0.0
Ann Chong,2015-10-31,0,0.0
Neoma Murray,2016-07-31,0,0.0
Neoma Murray,2016-06-30,0,0.0
Ann Chong,2015-11-30,0,0.0
Neoma Murray,2016-04-30,0,0.0
Nick Crebassa,2015-01-31,0,0.0
Nick Crebassa,2015-02-28,0,0.0
Nick Crebassa,2015-03-31,0,0.0
Nick Crebassa,2015-04-30,0,0.0
Nick Crebassa,2016-09-30,0,0.0
Nick Crebassa,2016-08-31,0,0.0
Nick Crebassa,2016-07-31,0,0.0
Nick Crebassa,2016-06-30,0,0.0
Nick Crebassa,2016-05-31,0,0.0
Nick Crebassa,2016-04-30,0,0.0
Nick Crebassa,2016-03-31,0,0.0
Nick Crebassa,2016-02-29,0,0.0
Nick Crebassa,2016-01-31,0,0.0
Nick Crebassa,2015-12-31,0,0.0
Nick Crebassa,2015-11-30,0,0.0
Nick Crebassa,2015-10-31,0,0.0
Nick Crebassa,2015-09-30,0,0.0
Nick Crebassa,2015-08-31,0,0.0
Nick Crebassa,2015-07-31,0,0.0
Nick Crebassa,2015-06-30,0,0.0
Nick Crebassa,2015-05-31,0,0.0
Ann Blume,2016-11-30,0,0.0
Nick Radford,2016-12-31,0,0.0
Nicole Fjeld,2017-04-30,0,0.0
Nicole Fjeld,2014-10-31,0,0.0
Nicole Fjeld,2015-06-30,0,0.0
Ann Blume,2015-06-30,0,0.0
Ann Blume,2015-07-31,0,0.0
Ann Blume,2015-08-31,0,0.0
Nicole Fjeld,2015-02-28,0,0.0
Nicole Fjeld,2015-01-31,0,0.0
Nicole Fjeld,2014-12-31,0,0.0
Nicole Fjeld,2014-11-30,0,0.0
Ann Blume,2015-09-30,0,0.0
Ann Blume,2016-03-31,0,0.0
Nicole Fjeld,2014-08-31,0,0.0
Nicole Fjeld,2014-07-31,0,0.0
Nicole Fjeld,2014-06-30,0,0.0
Nicole Fjeld,2014-05-31,0,0.0
Ann Blume,2015-10-31,0,0.0
Ann Blume,2015-12-31,0,0.0
Ann Blume,2016-01-31,0,0.0
Ann Blume,2016-02-29,0,0.0
Nicole Fjeld,2015-07-31,0,0.0
Nicole Fjeld,2015-08-31,0,0.0
Nicole Fjeld,2015-09-30,0,0.0
Nicole Fjeld,2015-10-31,0,0.0
Nicole Fjeld,2017-03-31,0,0.0
Nicole Fjeld,2017-02-28,0,0.0
Nicole Fjeld,2017-01-31,0,0.0
Nicole Fjeld,2016-12-31,0,0.0
Nicole Fjeld,2016-11-30,0,0.0
Nicole Fjeld,2016-10-31,0,0.0
Nicole Fjeld,2016-09-30,0,0.0
Nicole Fjeld,2016-08-31,0,0.0
Nicole Fjeld,2016-07-31,0,0.0
Nicole Fjeld,2016-06-30,0,0.0
Nicole Fjeld,2016-05-31,0,0.0
Nicole Fjeld,2016-04-30,0,0.0
Nicole Fjeld,2016-03-31,0,0.0
Nicole Fjeld,2016-02-29,0,0.0
Nicole Fjeld,2016-01-31,0,0.0
Nicole Fjeld,2015-12-31,0,0.0
Nicole Fjeld,2015-11-30,0,0.0
Nick Zandusky,2017-09-30,0,0.0
Nick Zandusky,2017-07-31,0,0.0
Nick Radford,2017-01-31,0,0.0
Nick Zandusky,2014-12-31,0,0.0
Ann Blume,2016-08-31,0,0.0
Nick Zandusky,2015-07-31,0,0.0
Nick Zandusky,2015-06-30,0,0.0
Nick Zandusky,2015-05-31,0,0.0
Nick Zandusky,2015-04-30,0,0.0
Nick Zandusky,2015-03-31,0,0.0
Nick Zandusky,2015-02-28,0,0.0
Nick Zandusky,2015-01-31,0,0.0
Nick Zandusky,2014-11-30,0,0.0
Nick Zandusky,2017-06-30,0,0.0
Nick Zandusky,2014-10-31,0,0.0
Nick Zandusky,2014-09-30,0,0.0
Ann Blume,2016-09-30,0,0.0
Ann Blume,2016-10-31,0,0.0
Nick Radford,2017-05-31,0,0.0
Nick Radford,2017-04-30,0,0.0
Nick Radford,2017-03-31,0,0.0
Nick Radford,2017-02-28,0,0.0
Nick Zandusky,2015-09-30,0,0.0
Nick Zandusky,2015-10-31,0,0.0
Nick Zandusky,2015-11-30,0,0.0
Nick Zandusky,2015-12-31,0,0.0
Nick Zandusky,2017-05-31,0,0.0
Ann Blume,2016-04-30,0,0.0
Nick Zandusky,2017-03-31,0,0.0
Nick Zandusky,2017-02-28,0,0.0
Nick Zandusky,2017-01-31,0,0.0
Nick Zandusky,2016-12-31,0,0.0
Ann Blume,2016-05-31,0,0.0
Nick Zandusky,2016-10-31,0,0.0
Ann Blume,2016-06-30,0,0.0
Nick Zandusky,2016-08-31,0,0.0
Ann Blume,2016-07-31,0,0.0
Nick Zandusky,2016-06-30,0,0.0
Nick Zandusky,2016-05-31,0,0.0
Nick Zandusky,2016-04-30,0,0.0
Nick Zandusky,2016-03-31,0,0.0
Nick Zandusky,2016-02-29,0,0.0
Nick Zandusky,2016-01-31,0,0.0
Nathan Gelder,2016-02-29,0,0.0
Natalie Webber,2015-02-28,0,0.0
Nathan Gelder,2015-12-31,0,0.0
Monica Federle,2017-04-30,0,0.0
Anna Chung,2014-11-30,0,0.0
Monica Federle,2017-11-30,0,0.0
Monica Federle,2017-10-31,0,0.0
Monica Federle,2017-09-30,0,0.0
Monica Federle,2017-08-31,0,0.0
Monica Federle,2017-07-31,0,0.0
Monica Federle,2017-06-30,0,0.0
Monica Federle,2017-05-31,0,0.0
Monica Federle,2017-03-31,0,0.0
Muhammed Lee,2015-07-31,0,0.0
Monica Federle,2017-02-28,0,0.0
Monica Federle,2017-01-31,0,0.0
Monica Federle,2016-12-31,0,0.0
Monica Federle,2016-11-30,0,0.0
Monica Federle,2016-10-31,0,0.0
Monica Federle,2016-09-30,0,0.0
Monica Federle,2016-08-31,0,0.0
Monica Federle,2016-07-31,0,0.0
Muhammed Lee,2015-06-30,0,0.0
Muhammed Lee,2015-08-31,0,0.0
Muhammed Lee,2017-05-31,0,0.0
Muhammed Lee,2016-07-31,0,0.0
Muhammed Lee,2017-03-31,0,0.0
Muhammed Lee,2017-02-28,0,0.0
Muhammed Lee,2017-01-31,0,0.0
Muhammed Lee,2016-12-31,0,0.0
Muhammed Lee,2016-11-30,0,0.0
Muhammed Lee,2016-10-31,0,0.0
Muhammed Lee,2016-09-30,0,0.0
Muhammed Lee,2016-08-31,0,0.0
Muhammed Lee,2016-06-30,0,0.0
Muhammed Lee,2015-09-30,0,0.0
Muhammed Lee,2016-05-31,0,0.0
Muhammed Lee,2016-04-30,0,0.0
Muhammed Lee,2016-03-31,0,0.0
Muhammed Lee,2016-02-29,0,0.0
Muhammed Lee,2016-01-31,0,0.0
Muhammed Lee,2015-12-31,0,0.0
Muhammed Lee,2015-11-30,0,0.0
Muhammed Lee,2015-10-31,0,0.0
Monica Federle,2016-06-30,0,0.0
Monica Federle,2016-05-31,0,0.0
Monica Federle,2016-04-30,0,0.0
Mitch Willingham,2016-12-31,0,0.0
Mitch Willingham,2017-08-31,0,0.0
Mitch Willingham,2017-07-31,0,0.0
Mitch Willingham,2017-06-30,0,0.0
Mitch Willingham,2017-05-31,0,0.0
Mitch Willingham,2017-04-30,0,0.0
Mitch Willingham,2017-03-31,0,0.0
Mitch Willingham,2017-02-28,0,0.0
Mitch Willingham,2017-01-31,0,0.0
Mitch Willingham,2016-11-30,0,0.0
Monica Federle,2016-03-31,0,0.0
Mitch Willingham,2016-10-31,0,0.0
Mitch Willingham,2016-09-30,0,0.0
Mitch Willingham,2016-08-31,0,0.0
Mitch Willingham,2016-07-31,0,0.0
Mitch Willingham,2016-06-30,0,0.0
Mitch Willingham,2016-05-31,0,0.0
Mitch Willingham,2016-04-30,0,0.0
Mitch Willingham,2016-03-31,0,0.0
Mitch Willingham,2017-09-30,0,0.0
Mitch Willingham,2017-10-31,0,0.0
Anna Chung,2015-04-30,0,0.0
Anna Chung,2015-03-31,0,0.0
Monica Federle,2016-02-29,0,0.0
Monica Federle,2016-01-31,0,0.0
Monica Federle,2015-12-31,0,0.0
Anna Chung,2014-12-31,0,0.0
Monica Federle,2015-10-31,0,0.0
Monica Federle,2015-09-30,0,0.0
Anna Chung,2015-01-31,0,0.0
Monica Federle,2015-07-31,0,0.0
Monica Federle,2015-06-30,0,0.0
Monica Federle,2015-05-31,0,0.0
Monica Federle,2015-04-30,0,0.0
Anna Chung,2015-02-28,0,0.0
Monica Federle,2015-02-28,0,0.0
Monica Federle,2015-01-31,0,0.0
Monica Federle,2014-12-31,0,0.0
Monica Federle,2014-11-30,0,0.0
Monica Federle,2014-10-31,0,0.0
Muhammed Lee,2017-04-30,0,0.0
Muhammed Lee,2017-06-30,0,0.0
Ann Steele,2014-11-30,0,0.0
Muhammed Yedwab,2014-09-30,0,0.0
Muhammed Yedwab,2015-05-31,0,0.0
Muhammed Yedwab,2015-04-30,0,0.0
Muhammed Yedwab,2015-03-31,0,0.0
Muhammed Yedwab,2015-02-28,0,0.0
Muhammed Yedwab,2015-01-31,0,0.0
Muhammed Yedwab,2014-12-31,0,0.0
Anna Andreadi,2016-12-31,0,0.0
Muhammed Yedwab,2014-10-31,0,0.0
Muhammed Yedwab,2014-08-31,0,0.0
Muhammed Yedwab,2015-07-31,0,0.0
Muhammed Yedwab,2014-07-31,0,0.0
Muhammed Yedwab,2014-06-30,0,0.0
Muhammed Yedwab,2014-05-31,0,0.0
Anna Andreadi,2017-01-31,0,0.0
Anna Andreadi,2017-02-28,0,0.0
Anna Andreadi,2017-03-31,0,0.0
Muhammed MacIntyre,2017-08-31,0,0.0
Muhammed MacIntyre,2017-07-31,0,0.0
Muhammed Yedwab,2015-06-30,0,0.0
Muhammed Yedwab,2015-08-31,0,0.0
Muhammed Lee,2017-07-31,0,0.0
Muhammed Yedwab,2016-07-31,0,0.0
Muhammed Yedwab,2017-03-31,0,0.0
Muhammed Yedwab,2017-02-28,0,0.0
Muhammed Yedwab,2017-01-31,0,0.0
Anna Andreadi,2016-06-30,0,0.0
Muhammed Yedwab,2016-11-30,0,0.0
Anna Andreadi,2016-08-31,0,0.0
Muhammed Yedwab,2016-09-30,0,0.0
Muhammed Yedwab,2016-08-31,0,0.0
Muhammed Yedwab,2016-06-30,0,0.0
Muhammed Yedwab,2015-09-30,0,0.0
Muhammed Yedwab,2016-05-31,0,0.0
Anna Andreadi,2016-10-31,0,0.0
Anna Andreadi,2016-11-30,0,0.0
Muhammed Yedwab,2016-02-29,0,0.0
Muhammed Yedwab,2016-01-31,0,0.0
Muhammed Yedwab,2015-12-31,0,0.0
Muhammed Yedwab,2015-11-30,0,0.0
Muhammed Yedwab,2015-10-31,0,0.0
Anna Andreadi,2017-04-30,0,0.0
Muhammed MacIntyre,2017-05-31,0,0.0
Muhammed MacIntyre,2017-04-30,0,0.0
Muhammed MacIntyre,2014-08-31,0,0.0
Muhammed MacIntyre,2015-04-30,0,0.0
Muhammed MacIntyre,2015-03-31,0,0.0
Muhammed MacIntyre,2015-02-28,0,0.0
Muhammed MacIntyre,2015-01-31,0,0.0
Muhammed MacIntyre,2014-12-31,0,0.0
Muhammed MacIntyre,2014-11-30,0,0.0
Muhammed MacIntyre,2014-10-31,0,0.0
Muhammed MacIntyre,2014-09-30,0,0.0
Muhammed MacIntyre,2014-07-31,0,0.0
Muhammed MacIntyre,2017-03-31,0,0.0
Muhammed MacIntyre,2014-06-30,0,0.0
Muhammed MacIntyre,2014-05-31,0,0.0
Muhammed MacIntyre,2014-04-30,0,0.0
Muhammed MacIntyre,2014-03-31,0,0.0
Muhammed MacIntyre,2014-02-28,0,0.0
Anna Andreadi,2017-09-30,0,0.0
Anna Andreadi,2017-10-31,0,0.0
Muhammed Lee,2017-08-31,0,0.0
Anna Andreadi,2017-08-31,0,0.0
Muhammed MacIntyre,2015-06-30,0,0.0
Muhammed MacIntyre,2015-07-31,0,0.0
Muhammed MacIntyre,2015-08-31,0,0.0
Muhammed MacIntyre,2017-02-28,0,0.0
Muhammed MacIntyre,2017-01-31,0,0.0
Muhammed MacIntyre,2016-12-31,0,0.0
Muhammed MacIntyre,2016-11-30,0,0.0
Muhammed MacIntyre,2016-10-31,0,0.0
Anna Andreadi,2017-05-31,0,0.0
Muhammed MacIntyre,2016-08-31,0,0.0
Muhammed MacIntyre,2016-07-31,0,0.0
Muhammed MacIntyre,2016-06-30,0,0.0
Muhammed MacIntyre,2016-05-31,0,0.0
Muhammed MacIntyre,2016-04-30,0,0.0
Anna Andreadi,2017-06-30,0,0.0
Muhammed MacIntyre,2016-02-29,0,0.0
Muhammed MacIntyre,2016-01-31,0,0.0
Muhammed MacIntyre,2015-11-30,0,0.0
Muhammed MacIntyre,2015-10-31,0,0.0
Anna Andreadi,2017-07-31,0,0.0
Mitch Willingham,2016-02-29,0,0.0
Mitch Willingham,2016-01-31,0,0.0
Mitch Willingham,2015-12-31,0,0.0
Mike Pelletier,2017-04-30,0,0.0
Anna Chung,2016-12-31,0,0.0
Mike Pelletier,2017-11-30,0,0.0
Anna Chung,2017-01-31,0,0.0
Mike Pelletier,2017-09-30,0,0.0
Mike Pelletier,2017-08-31,0,0.0
Mike Pelletier,2017-07-31,0,0.0
Mike Pelletier,2017-06-30,0,0.0
Mike Pelletier,2017-05-31,0,0.0
Mike Pelletier,2017-03-31,0,0.0
Mike Vittorini,2014-02-28,0,0.0
Anna Chung,2017-02-28,0,0.0
Mike Pelletier,2017-01-31,0,0.0
Anna Gayman,2015-06-30,0,0.0
Mike Pelletier,2016-11-30,0,0.0
Mike Pelletier,2016-10-31,0,0.0
Mike Pelletier,2016-09-30,0,0.0
Mike Pelletier,2016-08-31,0,0.0
Mike Pelletier,2016-07-31,0,0.0
Anna Chung,2016-11-30,0,0.0
Mike Vittorini,2014-03-31,0,0.0
Mitch Willingham,2015-11-30,0,0.0
Mike Vittorini,2015-02-28,0,0.0
Mike Vittorini,2015-10-31,0,0.0
Mike Vittorini,2015-09-30,0,0.0
Mike Vittorini,2015-08-31,0,0.0
Anna Chung,2016-08-31,0,0.0
Mike Vittorini,2015-06-30,0,0.0
Mike Vittorini,2015-05-31,0,0.0
Mike Vittorini,2015-04-30,0,0.0
Anna Chung,2016-10-31,0,0.0
Mike Vittorini,2015-01-31,0,0.0
Mike Vittorini,2014-04-30,0,0.0
Mike Vittorini,2014-12-31,0,0.0
Mike Vittorini,2014-11-30,0,0.0
Mike Vittorini,2014-10-31,0,0.0
Mike Vittorini,2014-09-30,0,0.0
Mike Vittorini,2014-08-31,0,0.0
Mike Vittorini,2014-07-31,0,0.0
Mike Vittorini,2014-06-30,0,0.0
Mike Vittorini,2014-05-31,0,0.0
Mike Pelletier,2016-06-30,0,0.0
Mike Pelletier,2016-05-31,0,0.0
Mike Pelletier,2016-04-30,0,0.0
Anna Gayman,2015-12-31,0,0.0
Mike Pelletier,2014-05-31,0,0.0
Mike Pelletier,2014-04-30,0,0.0
Anna Gayman,2015-10-31,0,0.0
Anna Gayman,2015-11-30,0,0.0
Mike Kennedy,2017-04-30,0,0.0
Mike Kennedy,2017-03-31,0,0.0
Mike Kennedy,2017-02-28,0,0.0
Mike Kennedy,2017-01-31,0,0.0
Mike Kennedy,2016-11-30,0,0.0
Mike Pelletier,2016-03-31,0,0.0
Mike Kennedy,2016-10-31,0,0.0
Mike Kennedy,2016-09-30,0,0.0
Mike Kennedy,2016-08-31,0,0.0
Mike Kennedy,2016-07-31,0,0.0
Mike Kennedy,2016-06-30,0,0.0
Mike Kennedy,2016-05-31,0,0.0
Mike Kennedy,2016-04-30,0,0.0
Mike Kennedy,2016-03-31,0,0.0
Mike Pelletier,2014-06-30,0,0.0
Mike Pelletier,2014-07-31,0,0.0
Mike Pelletier,2014-08-31,0,0.0
Mike Pelletier,2014-09-30,0,0.0
Mike Pelletier,2016-02-29,0,0.0
Mike Pelletier,2016-01-31,0,0.0
Anna Gayman,2015-07-31,0,0.0
Anna Gayman,2015-08-31,0,0.0
Mike Pelletier,2015-10-31,0,0.0
Mike Pelletier,2015-09-30,0,0.0
Mike Pelletier,2015-08-31,0,0.0
Mike Pelletier,2015-07-31,0,0.0
Mike Pelletier,2015-06-30,0,0.0
Mike Pelletier,2015-05-31,0,0.0
Mike Pelletier,2015-04-30,0,0.0
Mike Pelletier,2015-03-31,0,0.0
Mike Pelletier,2015-02-28,0,0.0
Mike Pelletier,2015-01-31,0,0.0
Mike Pelletier,2014-12-31,0,0.0
Anna Gayman,2015-09-30,0,0.0
Mike Pelletier,2014-10-31,0,0.0
Mike Vittorini,2015-11-30,0,0.0
Mike Vittorini,2015-12-31,0,0.0
Mike Vittorini,2016-01-31,0,0.0
Mitch Webber,2017-01-31,0,0.0
Mitch Webber,2017-09-30,0,0.0
Mitch Webber,2017-08-31,0,0.0
Mitch Webber,2017-07-31,0,0.0
Mitch Webber,2017-06-30,0,0.0
Mitch Webber,2017-05-31,0,0.0
Mitch Webber,2017-04-30,0,0.0
Mitch Webber,2017-03-31,0,0.0
Mitch Webber,2017-02-28,0,0.0
Anna Chung,2015-07-31,0,0.0
Mitch Webber,2016-02-29,0,0.0
Mitch Webber,2016-11-30,0,0.0
Mitch Webber,2016-10-31,0,0.0
Mitch Webber,2016-09-30,0,0.0
Mitch Webber,2016-08-31,0,0.0
Mitch Webber,2016-07-31,0,0.0
Mitch Webber,2016-06-30,0,0.0
Mitch Webber,2016-05-31,0,0.0
Mitch Webber,2016-04-30,0,0.0
Mitch Webber,2017-10-31,0,0.0
Mitch Webber,2017-11-30,0,0.0
Anna Chung,2015-06-30,0,0.0
Anna Chung,2015-05-31,0,0.0
Mitch Willingham,2015-10-31,0,0.0
Mitch Willingham,2015-09-30,0,0.0
Mitch Willingham,2015-08-31,0,0.0
Mitch Willingham,2015-07-31,0,0.0
Mitch Willingham,2015-06-30,0,0.0
Mitch Willingham,2015-05-31,0,0.0
Mitch Willingham,2015-04-30,0,0.0
Mitch Willingham,2015-03-31,0,0.0
Mitch Willingham,2015-02-28,0,0.0
Mitch Willingham,2015-01-31,0,0.0
Mitch Willingham,2014-12-31,0,0.0
Mitch Willingham,2014-11-30,0,0.0
Mitch Willingham,2014-10-31,0,0.0
Mitch Willingham,2014-09-30,0,0.0
Mitch Willingham,2014-08-31,0,0.0
Mitch Willingham,2014-07-31,0,0.0
Mitch Willingham,2014-06-30,0,0.0
Mitch Webber,2016-03-31,0,0.0
Mitch Webber,2016-01-31,0,0.0
Mike Vittorini,2016-02-29,0,0.0
Anna Chung,2016-04-30,0,0.0
Mike Vittorini,2017-08-31,0,0.0
Mike Vittorini,2017-07-31,0,0.0
Mike Vittorini,2017-06-30,0,0.0
Mike Vittorini,2017-05-31,0,0.0
Mike Vittorini,2017-04-30,0,0.0
Mike Vittorini,2017-03-31,0,0.0
Mike Vittorini,2017-02-28,0,0.0
Mike Vittorini,2017-01-31,0,0.0
Anna Chung,2016-05-31,0,0.0
Anna Chung,2015-08-31,0,0.0
Mike Vittorini,2016-10-31,0,0.0
Mike Vittorini,2016-09-30,0,0.0
Mike Vittorini,2016-08-31,0,0.0
Mike Vittorini,2016-07-31,0,0.0
Anna Chung,2016-07-31,0,0.0
Mike Vittorini,2016-05-31,0,0.0
Mike Vittorini,2016-04-30,0,0.0
Mike Vittorini,2016-03-31,0,0.0
Mike Vittorini,2017-09-30,0,0.0
Mike Vittorini,2017-10-31,0,0.0
Mike Vittorini,2017-11-30,0,0.0
Anna Chung,2016-02-29,0,0.0
Mitch Webber,2015-11-30,0,0.0
Mitch Webber,2015-10-31,0,0.0
Mitch Webber,2015-09-30,0,0.0
Mitch Webber,2015-08-31,0,0.0
Anna Chung,2015-09-30,0,0.0
Mitch Webber,2015-06-30,0,0.0
Mitch Webber,2015-05-31,0,0.0
Mitch Webber,2015-04-30,0,0.0
Mitch Webber,2015-03-31,0,0.0
Mitch Webber,2015-02-28,0,0.0
Mitch Webber,2015-01-31,0,0.0
Mitch Webber,2014-12-31,0,0.0
Anna Chung,2015-10-31,0,0.0
Mitch Webber,2014-10-31,0,0.0
Anna Chung,2015-11-30,0,0.0
Anna Chung,2015-12-31,0,0.0
Anna Chung,2016-01-31,0,0.0
Muhammed Yedwab,2017-04-30,0,0.0
Muhammed Yedwab,2017-06-30,0,0.0
Muhammed Yedwab,2017-07-31,0,0.0
Natalie Fritzler,2015-09-30,0,0.0
Natalie Fritzler,2016-05-31,0,0.0
Natalie Fritzler,2016-04-30,0,0.0
Natalie Fritzler,2016-03-31,0,0.0
Natalie Fritzler,2016-02-29,0,0.0
Natalie Fritzler,2016-01-31,0,0.0
Ann Steele,2016-08-31,0,0.0
Natalie Fritzler,2015-11-30,0,0.0
Natalie Fritzler,2015-10-31,0,0.0
Natalie Fritzler,2015-08-31,0,0.0
Natalie Fritzler,2016-07-31,0,0.0
Natalie Fritzler,2015-07-31,0,0.0
Natalie Fritzler,2015-06-30,0,0.0
Natalie Fritzler,2015-05-31,0,0.0
Natalie Fritzler,2015-04-30,0,0.0
Natalie Fritzler,2015-03-31,0,0.0
Natalie Fritzler,2015-02-28,0,0.0
Natalie Fritzler,2015-01-31,0,0.0
Natalie Fritzler,2014-12-31,0,0.0
Natalie Fritzler,2016-06-30,0,0.0
Ann Steele,2016-07-31,0,0.0
Natalie DeCherney,2014-12-31,0,0.0
Ann Steele,2016-05-31,0,0.0
Natalie Webber,2014-10-31,0,0.0
Natalie Webber,2014-09-30,0,0.0
Natalie Webber,2014-08-31,0,0.0
Natalie Webber,2014-07-31,0,0.0
Ann Steele,2016-02-29,0,0.0
Ann Steele,2016-03-31,0,0.0
Natalie Fritzler,2017-09-30,0,0.0
Ann Steele,2016-04-30,0,0.0
Natalie Fritzler,2017-06-30,0,0.0
Ann Steele,2016-06-30,0,0.0
Natalie Fritzler,2017-05-31,0,0.0
Natalie Fritzler,2017-04-30,0,0.0
Natalie Fritzler,2017-03-31,0,0.0
Natalie Fritzler,2017-02-28,0,0.0
Natalie Fritzler,2017-01-31,0,0.0
Natalie Fritzler,2016-12-31,0,0.0
Natalie Fritzler,2016-11-30,0,0.0
Natalie Fritzler,2016-10-31,0,0.0
Natalie Fritzler,2014-11-30,0,0.0
Natalie Fritzler,2014-10-31,0,0.0
Natalie Fritzler,2014-09-30,0,0.0
Natalie DeCherney,2015-11-30,0,0.0
Natalie DeCherney,2016-08-31,0,0.0
Natalie DeCherney,2016-07-31,0,0.0
Natalie DeCherney,2016-06-30,0,0.0
Natalie DeCherney,2016-04-30,0,0.0
Natalie DeCherney,2016-03-31,0,0.0
Natalie DeCherney,2016-02-29,0,0.0
Natalie DeCherney,2016-01-31,0,0.0
Natalie DeCherney,2015-12-31,0,0.0
Natalie DeCherney,2015-10-31,0,0.0
Natalie Fritzler,2014-08-31,0,0.0
Natalie DeCherney,2015-09-30,0,0.0
Natalie DeCherney,2015-08-31,0,0.0
Ann Steele,2017-05-31,0,0.0
Natalie DeCherney,2015-06-30,0,0.0
Natalie DeCherney,2015-05-31,0,0.0
Natalie DeCherney,2015-04-30,0,0.0
Natalie DeCherney,2015-03-31,0,0.0
Natalie DeCherney,2015-02-28,0,0.0
Natalie DeCherney,2016-09-30,0,0.0
Natalie DeCherney,2016-10-31,0,0.0
Ann Steele,2017-02-28,0,0.0
Natalie DeCherney,2016-12-31,0,0.0
Natalie Fritzler,2014-07-31,0,0.0
Natalie Fritzler,2014-06-30,0,0.0
Natalie Fritzler,2014-05-31,0,0.0
Natalie Fritzler,2014-04-30,0,0.0
Natalie Fritzler,2014-03-31,0,0.0
Ann Steele,2016-10-31,0,0.0
Ann Steele,2016-11-30,0,0.0
Natalie DeCherney,2017-11-30,0,0.0
Natalie DeCherney,2017-09-30,0,0.0
Natalie DeCherney,2017-08-31,0,0.0
Natalie DeCherney,2017-07-31,0,0.0
Natalie DeCherney,2017-06-30,0,0.0
Natalie DeCherney,2017-05-31,0,0.0
Ann Steele,2016-12-31,0,0.0
Ann Steele,2017-01-31,0,0.0
Natalie DeCherney,2017-02-28,0,0.0
Natalie DeCherney,2017-01-31,0,0.0
Ann Steele,2016-01-31,0,0.0
Natalie Webber,2014-12-31,0,0.0
Natalie Webber,2015-01-31,0,0.0
Nathan Cano,2016-05-31,0,0.0
Nathan Cano,2017-01-31,0,0.0
Nathan Cano,2016-12-31,0,0.0
Nathan Cano,2016-11-30,0,0.0
Ann Steele,2015-03-31,0,0.0
Nathan Cano,2016-09-30,0,0.0
Nathan Cano,2016-08-31,0,0.0
Nathan Cano,2016-07-31,0,0.0
Nathan Cano,2016-06-30,0,0.0
Nathan Cano,2016-04-30,0,0.0
Ann Steele,2015-04-30,0,0.0
Nathan Cano,2016-03-31,0,0.0
Nathan Cano,2016-02-29,0,0.0
Nathan Cano,2016-01-31,0,0.0
Nathan Cano,2015-12-31,0,0.0
Nathan Cano,2015-11-30,0,0.0
Nathan Cano,2015-10-31,0,0.0
Nathan Cano,2015-09-30,0,0.0
Nathan Cano,2015-08-31,0,0.0
Nathan Cano,2017-02-28,0,0.0
Nathan Cano,2017-03-31,0,0.0
Nathan Cano,2017-04-30,0,0.0
Nathan Cano,2017-05-31,0,0.0
Nathan Gelder,2015-10-31,0,0.0
Nathan Gelder,2015-09-30,0,0.0
Nathan Gelder,2015-08-31,0,0.0
Nathan Gelder,2015-07-31,0,0.0
Nathan Gelder,2015-06-30,0,0.0
Nathan Gelder,2015-05-31,0,0.0
Nathan Gelder,2015-04-30,0,0.0
Nathan Gelder,2015-03-31,0,0.0
Nathan Gelder,2015-02-28,0,0.0
Nathan Gelder,2015-01-31,0,0.0
Ann Steele,2015-01-31,0,0.0
Ann Steele,2015-02-28,0,0.0
Nathan Cano,2017-10-31,0,0.0
Nathan Cano,2017-09-30,0,0.0
Nathan Cano,2017-08-31,0,0.0
Nathan Cano,2017-07-31,0,0.0
Nathan Cano,2017-06-30,0,0.0
Nathan Cano,2015-07-31,0,0.0
Nathan Cano,2015-05-31,0,0.0
Nora Paige,2016-12-31,0,0.0
Natalie Webber,2015-12-31,0,0.0
Natalie Webber,2016-08-31,0,0.0
Natalie Webber,2016-07-31,0,0.0
Natalie Webber,2016-06-30,0,0.0
Natalie Webber,2016-05-31,0,0.0
Natalie Webber,2016-04-30,0,0.0
Natalie Webber,2016-03-31,0,0.0
Natalie Webber,2016-02-29,0,0.0
Natalie Webber,2016-01-31,0,0.0
Ann Steele,2015-10-31,0,0.0
Ann Steele,2015-05-31,0,0.0
Natalie Webber,2015-10-31,0,0.0
Ann Steele,2015-11-30,0,0.0
Natalie Webber,2015-08-31,0,0.0
Natalie Webber,2015-07-31,0,0.0
